A,B,C,D
Sonora Santanera,Las Numero 1 De La Sonora Santanera,Amor De Cabaret,0
Planet P Project,Pink World,Pink World,1984
JennyAnyKind,I Need You,Young Boy Blues,0
Casual,Fear Itself,I Didn't Mean To,0
Jeff And Sheri Easter,Ordinary Day,The Moon And I (Ordinary Day Album Version),0
Tweeterfriendly Music,Gin & Phonic,Drop of Rain,0
The Box Tops,Dimensions,Soul Deep,1969
Adam Ant,Friend Or Foe,Something Girls,1982
Gob,Muertos Vivos,Face the Ashes,2007
Clp,Superinstrumental,Insatiable (Instrumental Version),0
Rated R,Da Ghetto Psychic,Keepin It Real (Skit),0
Jimmy Wakely,1942-1952 Jimmy Wakely,Broken-Down Merry-Go-Round,0
lextrical,Whatever Happened To Boredom?,Synthetic Dream,0
Richard Souther,Cross Currents,High Tide,0
Alice Stuart,All The Good Times,Kassie Jones,0
Lionel Richie,Dancing On The Ceiling,Tonight Will Be Alright,1986
Bob Azzam,Arrivederci,Auguri Cha Cha,0
Tesla,Gold,Caught In A Dream,2004
Andy Andy,Placer & Castigo,La Culpa,0
Blue Rodeo,Outskirts,Floating,1987
Faiz Ali Faiz,Panjtan Ka Ghulam,Sohna Nee Sohna Data,0
Wayne Watson,The Way Home,The Urgency (LP Version),0
The Dillinger Escape Plan,Miss Machine,Setting Fire to Sleeping Giants,2004
Mike Jones (Featuring CJ_ Mello & Lil' Bran),Who Is Mike Jones?,Laws Patrolling (Album Version),0
Elena,Un cafe_ setanta matins,Setanta matins,0
Tim Wilson,The Real Twang Thang,I Think My Wife Is Running Around On Me (Taco Hell),2005
John Wesley,The Emperor Falls,The Emperor Falls,0
Sierra Maestra,Tibiri Tabara,¿Dónde va Chichi?,1997
Faye Adams,Shake A Hand,Crazy Mixed Up World,1961
Billie Jo Spears,20 Of Her Best,It Makes No Difference Now,1992
Willie Bobo,Willie Bobo's Finest Hour,Spanish Grease,1997
The Shangri-Las,Best of The Shangri-Las,Twist and Shout,1964
Five Bolt Main,Live,Made Like This (Live),0
Clp,Strictly Confidential,Superconfidential,0
SUE THOMPSON,Sue Thompson - Her Very Best,James (Hold The Ladder Steady),1985
Terry Callier,Occasional Rain,Do You Finally Need A Friend,1972
Jacob Young,Pieces Of Time,In A Subtle Way,0
Casiotone For The Painfully Alone,Etiquette,Nashville Parthenon,2006
John Hammond,Bluesman,I Can't Be Satisfied,2002
The New York Dolls,Too Much Too Soon,Human Being,1974
Despina Vandi,Profities,OUTE ENA EFHARISTO,0
Loudon Wainwright III,Grown Man,Human Cannonball,1995
Javier Navarrete,Cracks,Midnight Swim,0
