Sonora Santanera,Las Numero 1 De La Sonora Santanera,Amor De Cabaret,0,TRAAADZ128F9348C2E,5JeyXbf7CrVQ8DqwFikN0P
Planet P Project,Pink World,Pink World,1984,TRAAARJ128F9320760,2dISPmbjb4RKXTORd3KBVp
JennyAnyKind,I Need You,Young Boy Blues,0,TRAAAVO128F93133D4,5uN6oY2NGLC6GKoywHKkZA
Casual,Fear Itself,I Didn't Mean To,0,TRAAAAW128F429D538,01TR6aAKrA2cI3Z0gnCOsu
Jeff And Sheri Easter,Ordinary Day,The Moon And I (Ordinary Day Album Version),0,TRAAAMO128F1481E7F,7ERvcsBBYzSHqQQqlI9xAN
Tweeterfriendly Music,Gin & Phonic,Drop of Rain,0,TRAAAPK128E0786D96,6dfppQDZQ4x3fCs6N89kV3
The Box Tops,Dimensions,Soul Deep,1969,TRAAABD128F429CF47,4yPl1mK1oluIrCwI4HInPR
Adam Ant,Friend Or Foe,Something Girls,1982,TRAAAEF128F4273421,0ygZMtr5JdKEk1Nn58HB0V
Gob,Muertos Vivos,Face the Ashes,2007,TRAAAFD128F92F423A,4cdbM6efK43Cs2PDMtzdhv
Clp,Superinstrumental,Insatiable (Instrumental Version),0,TRAAAVG12903CFA543,-999
Rated R,Da Ghetto Psychic,Keepin It Real (Skit),0,TRAAAMQ128F1460CD3,0e4hF4Jxyh7cuwB2pMYhBh
Jimmy Wakely,1942-1952 Jimmy Wakely,Broken-Down Merry-Go-Round,0,TRAABYN12903CFD305,0OeACzDjHCfFAC0VwSCv3C
lextrical,Whatever Happened To Boredom?,Synthetic Dream,0,TRAABXG128F9318EBD,01rXKwe1sC4OJvI01BmhAL
Richard Souther,Cross Currents,High Tide,0,TRAABNV128F425CEE1,05N0fj2Alt0efIZ7XZ2m6J
Alice Stuart,All The Good Times,Kassie Jones,0,TRAABYW128F4244559,5IFHuCYpvtEyPfp2LS0bwF
Lionel Richie,Dancing On The Ceiling,Tonight Will Be Alright,1986,TRAABJV128F1460C49,2Jr12fpsMdIM6weoUDMf9u
Bob Azzam,Arrivederci,Auguri Cha Cha,0,TRAABJL12903CDCF1A,0DiSk1STsEM5bVOQHBqB1N
Tesla,Gold,Caught In A Dream,2004,TRAABVM128F92CA9DC,4iNtHYpGuqu0iz18QVFhAo
Andy Andy,Placer & Castigo,La Culpa,0,TRAABDL12903CAABBA,4NPrFFGPfS4el9lbtC5gGZ
Blue Rodeo,Outskirts,Floating,1987,TRAABLR128F423B7E3,3eS7eHlOBosVccCVHmEj6W
Faiz Ali Faiz,Panjtan Ka Ghulam,Sohna Nee Sohna Data,0,TRAABRB128F9306DD5,3ukWqBHE8jIlRSKNP99I7X
Wayne Watson,The Way Home,The Urgency (LP Version),0,TRAABCL128F4286650,-999
The Dillinger Escape Plan,Miss Machine,Setting Fire to Sleeping Giants,2004,TRAACER128F4290F96,2ZyNYdziwt0ZS9mxRiwnXM
Mike Jones (Featuring CJ_ Mello & Lil' Bran),Who Is Mike Jones?,Laws Patrolling (Album Version),0,TRAACVS128E078BE39,-999
Elena,Un cafe_ setanta matins,Setanta matins,0,TRAACCG128F92E8A55,1ZV1Ff9ebiB5pXpnC8Hfan
Tim Wilson,The Real Twang Thang,I Think My Wife Is Running Around On Me (Taco Hell),2005,TRAACLV128F427E123,5C5ZC5iYJ00ZmTLmEdBCk3
